id,symbol,name
aax-token,aab,AAX Token 
abc-chain,abc,ABC Chain 
abcc-token,at,ABCC Token 
abcd-token,abcd,ABCD Token 
abitshadow-token,abst,Abitshadow Token 
able-finance,able,Able Finance 
absolute,abs,Absolute 
absorber,abs,Absorber 
abulaba,aaa,Abulaba 
acash-coin,aca,Acash Coin 
ace-casino,ace,Ace Entertainment 
aced,aced,Aced 
acent,ace,Acent 
ac-exchange-token,acxt,ACDX Exchange Token 
ac-milan-fan-token,acm,AC Milan Fan Token 
acoconut,ac,ACoconut 
acoin,acoin,Acoin 
acreage-coin,acr,Acreage Coin 
acryl,acryl,Acryl 
acryptos,acs,ACryptoS 
acryptosi,acsi,ACryptoSI 
actinium,acm,Actinium 
action-coin,actn,Action Coin 
activeightcoin,activ,ActivEightCoin 
acuity-token,acu,Acuity 
acute-angle-cloud,aac,Acute Angle Cloud 
adamant,addy,Adamant 
adamant-messenger,adm,ADAMANT Messenger 
adappter-token,adp,Adappter Token 
adax,adax,ADAX 
adbank,adb,adbank 
addax,adx,Addax 
addict-finance,addict,Addict Finance 
add-xyz-new,add,Add.xyz NEW 
adelphoi,adl,Adelphoi 
adex,adx,AdEx 
ad-flex-token,adf,Ad Flex Token 
aditus,adi,Aditus 
admonkey,admonkey,AdMonkey 
adora-token,ara,Adora Token 
adshares,ads,Adshares 
adtoken,adt,adToken 
adventure-token,twa,Adventure Token 
advertise-coin,adco,Advertise Coin 
adzcoin,adz,Adzcoin 
aegis,ags,Aegis 
aelf,elf,aelf 
aelysir,ael,Aelysir 
aeneas,ash,Aeneas 
aen-smart-token,aens,AEN Smart Token 
aeon,aeon,Aeon 
aerdrop,aer,Aerdrop 
aergo,aergo,Aergo 
aeron,arnx,Aeron 
aerotoken,aet,AEROTOKEN 
aerotyne,atyne,Aerotyne 
aeryus,aer,Aeryus 
aeternity,ae,Aeternity 
aeur,aeur,AEUR 
aezora,azr,Aezora 
afen-blockchain,afen,AFEN Blockchain 
afin-coin,afin,Asian Fintech 
africa-to-mars,atm,Africa To Mars 
africa-trading-chain,att,Africa Trading Chain 
afro,afro,Afro 
afrodex,afrox,AfroDex 
afrodex-labs-token,afdlt,AfroDex Labs Token 
afterback,aftrbck,AfterBack 
afterburn,aftrbrn,AfterBurn 
aga-carbon-credit,agac,AGA Carbon Credit 
aga-carbon-rewards,acar,AGA Carbon Rewards 
aga-rewards,edc,Edcoin 
aga-rewards-2,agar,AGA Rewards 
aga-token,aga,AGA Token 
agavecoin,agvc,AgaveCoin 
agave-token,agve,Agave Token 
agenor,age,Agenor 
aggregator-network,aggt,Aggregator Network 
agoras,agrs,Agoras 
agouti,agu,Agouti 
agpc,agpc,AGPC 
agrello,dlt,Agrello 
agricoin,AGN,Agricoin 
agrinovuscoin,agri,AgriNovusCoin 
agrocash-x,xagc,AgroCash X 
agrolot,aglt,AGROLOT 
ahatoken,aht,AhaToken 
aiascoin,aias,AIAScoin 
aichain,ait,AICHAIN 
aicon,aico,Aicon 
aidcoin,aid,AidCoin 
aidi-inu,aidi,Aidi Inu 
ai-doctor,aidoc,AI Doctor 
aidos-kuneen,adk,Aidos Kuneen 
aidus,aidus,AIDUS Token 
ailink-token,ali,AiLink Token 
ai-mining,aim,AI Mining 
ai-network,ain,AI Network 
ainori,ain,Ainori 
alliance-cargo-direct,acd,Alliance Cargo Direct 
alliance-fan-token,all,Alliance Fan Token 
alliance-x-trading,axt,Alliance X Trading 
allium-finance,alm,Allium Finance 
allive,alv,Allive 
all-me,me,All.me 
allohash,alh,AlloHash 
alloy-project,xao,Alloy Project 
allsafe,asafe,AllSafe 
all-sports,soc,All Sports 
ally,aly,Ally 
ally-direct,drct,Ally Direct 
almace-shards,almx,Almace Shards 
aloha,aloha,Aloha 
alpaca,alpa,Alpaca City 
alpaca-finance,alpaca,Alpaca Finance 
